Set,Game,Server,ServerGameNum,Court,PointNum,ServeNum,Left_FH,Right_BH,Fault,PointWon,Note
2,3,AA,9,A,2,1,,1,,,L
2,3,AA,9,A,2,1,,1,,1,
2,3,AA,9,D,3,1,1,,,1,A
2,3,AA,9,A,4,1,,1,1,,
2,3,AA,9,A,4,2,,1,1,,DF
2,3,AA,9,D,5,1,,1,1,,
2,3,AA,9,D,5,2,,1,,1,
2,4,PS,9,D,1,1,,1,1,,
2,4,PS,9,D,1,2,,1,,,RW
2,4,PS,9,A,2,1,1,,1,,
2,4,PS,9,A,2,2,1,,,1,
2,4,PS,9,D,3,1,,1,1,,
2,4,PS,9,D,3,2,,1,,1,
2,4,PS,9,A,4,1,,,,1,SW
2,4,PS,9,D,5,1,,1,,,
2,4,PS,9,A,6,1,1,,1,,
2,4,PS,9,A,6,2,1,,,1,
2,5,AA,10,D,1,1,1,,,1,
2,5,AA,10,A,2,1,,1,,1,
2,5,AA,10,D,3,1,1,,1,,
2,5,AA,10,D,3,2,,1,,,
2,5,AA,10,A,4,1,  ,1,,,
2,5,AA,10,D,5,1,1,,,1,
2,5,AA,10,A,6,1,1,,1,,
2,5,AA,10,A,6,2,,1,,1,
2,6,PS,10,D,1,1,1,,1,,
2,6,PS,10,D,1,2,1,,,1,
2,6,PS,10,A,2,1,1,,1,,
2,6,PS,10,A,2,2,1,,,,
2,6,PS,10,D,3,1,,1,1,,
2,6,PS,10,D,3,2,,1,,1,
2,6,PS,10,A,4,1,,1,,1,A
2,6,PS,10,D,5,1,,1,1,,
2,6,PS,10,D,5,2,,1,1,,DF
2,6,PS,10,A,6,1,1,,1,,
2,6,PS,10,A,6,2,1,,,1,
2,7,AA,11,D,1,1,1,,,1,
2,7,AA,11,A,2,1,,1,1,,
2,7,AA,11,A,2,2,,1,,1,
2,7,AA,11,D,3,1,,1,,1,
2,7,AA,11,A,4,1,,1,,1,
2,8,PS,11,D,1,1,,1,,1,
2,8,PS,11,A,2,1,1,,,,RW
2,8,PS,11,D,3,1,,1,1,,
2,8,PS,11,D,3,2,,1,,,
2,8,PS,11,A,4,1,1,,,1,
2,8,PS,11,D,5,1,,1,,1,
2,8,PS,11,A,6,1,,1,,1,
2,9,AA,12,D,1,1,1,,,1,
2,9,AA,12,A,2,1,,,,1,C
2,9,AA,12,D,3,1,1,,,1,
2,9,AA,12,A,4,1,,,1,,
2,9,AA,12,A,4,2,,,,,RW
2,9,AA,12,D,5,1,,1,1,,
2,9,AA,12,D,5,2,,1,1,,DF
2,9,AA,12,A,6,1,1,,,1,
2,10,PS,12,D,1,1,,1,1,,
2,10,PS,12,D,1,2,1,,,1,
2,10,PS,12,A,2,1,,1,1,,
2,10,PS,12,A,2,2,1,,,1,A
2,10,PS,12,D,3,1,,1,1,,
2,10,PS,12,A,3,2,1,,,1,
2,10,PS,12,D,4,1,,1,1,,
2,10,PS,12,D,4,2,,1,,,RW
2,10,PS,12,A,5,1,,1,,1,
2,11,AA,13,D,1,1,,,,,C
2,11,AA,13,A,2,1,,1,,1,
2,11,AA,13,D,3,1,1,,1,,
2,11,AA,13,D,3,2,,1,,1,
2,11,AA,13,A,4,1,,1,,1,
2,11,AA,13,D,5,1,,1,,1,
2,12,PS,13,D,1,1,,1,1,,
2,12,PS,13,D,1,2,1,,1,,DF
2,12,PS,13,A,2,1,,1,1,,
2,12,PS,13,A,2,2,,1,,1,
2,12,PS,13,D,3,1,,1,,,
2,12,PS,13,A,4,1,,1,,1,
2,12,PS,13,D,5,1,1,,1,,
2,12,PS,13,D,5,2,1,,,,
2,12,PS,13,A,6,1,,1,1,,
2,12,PS,13,A,6,2,1,,1,,DF
2,12,PS,13,D,7,1,,1,,1,
2,12,PS,13,A,8,1,1,,1,,
2,12,PS,13,A,8,2,1,,1,,DF
2,12,PS,13,D,9,1,,1,,1,SW
2,12,PS,13,A,10,1,1,,,1,A
2,13,AA,14,D,1,1,1,,,,
2,13,PS,14,A,2,1,1,,1,,
2,13,PS,14,A,2,2,1,,,1,
2,13,PS,14,D,3,1,1,,,1,
2,13,AA,14,A,4,1,,1,,1,
2,13,AA,14,D,5,1,,1,,1,
2,13,PS,14,A,6,1,,1,,1,
2,13,AA,14,D,7,1,,1,1,,
2,13,PS,14,D,7,2,1,,,1,
2,13,AA,14,A,8,1,1,,1,,
2,13,AA,14,A,8,2,,1,,,
2,13,AA,14,D,9,1,1,,1,,
2,13,AA,14,D,9,2,,1,,,
3,1,PS,15,D,1,1,1,,,1,A
3,1,PS,15,A,2,1,,1,,1,
3,1,PS,15,D,3,1,1,,,1,
3,1,PS,15,A,4,1,,1,,,
3,1,PS,15,D,5,1,,1,,1,
3,2,AA,15,D,1,1,,1,,1,
3,2,AA,15,A,2,1,1,,1,,
3,2,AA,15,A,2,2,1,,,,
3,2,AA,15,D,3,1,,1,,1,A
3,2,AA,15,A,4,1,,1,,1,
3,2,AA,15,D,5,1,,1,,1,A
3,3,PS,16,D,1,1,1,,1,,
3,3,PS,16,D,1,2,1,,,1,
3,3,PS,16,A,2,1,1,,,,
3,3,PS,16,D,3,1,1,,,,L
3,3,PS,16,D,3,1,,1,,1,
3,3,PS,16,A,4,1,,1,1,,
3,3,PS,16,A,4,2,1,,,,RW
3,3,PS,16,D,5,1,1,,,,
3,3,PS,16,A,6,1,,1,1,,
3,3,PS,16,A,6,2,,1,,1,
3,3,PS,16,D,7,1,1,,1,,
3,3,PS,16,D,7,2,1,,,1,
3,3,PS,16,A,8,1,1,,,1,
3,4,AA,16,D,1,1,,1,,,
3,4,AA,16,A,2,1,1,,,1,
3,4,AA,16,D,3,1,1,,,1,
3,4,AA,16,A,4,1,1,,,1,
3,4,AA,16,D,5,1,,1,1,,
3,4,AA,16,D,5,2,,1,,,RW
3,4,AA,16,A,6,1,,1,,,
3,4,AA,16,D,7,1,,1,,1,A
3,4,AA,16,A,8,1,,1,,,
3,4,AA,16,D,9,1,,1,,1,A
3,4,AA,16,A,10,1,,1,1,,
3,4,AA,16,A,10,2,,1,,1,
3,5,PS,17,D,1,1,,1,,1,
3,5,PS,17,D,2,1,1,,,1,
3,5,PS,17,D,3,1,1,,,1,
3,5,PS,17,D,4,1,,1,,1,
3,6,AA,17,D,1,1,,1,1,,
3,6,AA,17,D,1,2,1,,,1,
3,6,AA,17,A,1,1,,1,,1,
3,6,AA,17,D,3,1,,1,1,,
3,6,AA,17,D,3,2,1,,,1,A
3,6,AA,17,A,4,1,,1,,1,A
3,7,PS,18,D,1,1,1,,,1,
3,7,PS,18,A,2,1,1,,1,,
3,7,PS,18,A,2,2,,1,,,
3,7,PS,18,D,3,1,,1,1,,
3,7,PS,18,D,3,2,,1,,1,
3,7,PS,18,A,4,1,,1,,1,
3,7,PS,18,D,5,1,,1,1,,
